rank_within_seed,seed,evaluation,fitness,latent_0,latent_1,euclidean_cell,geodesic_cell,euclidean_centroid_index,geodesic_centroid_index,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,actual_run_inserted,actual_run_replaced,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness,global_rank
7,1005,8320,4.784999999999986,-6.546051979064941,-28.434288024902344,"(8,2)","(9,7)",202,232,1.090062010877039,11.776071364883727,13.013380521316135,220.4886998495132,207.4753193281971,16.943230046055216,5.0990195135927845,False,False,True,5.689999999999993,-0.9050000000000074,True,9.382999999999987,-4.598000000000001,21
7,1003,3697,25.184999999999928,56.8939094543457,-13.244095802307129,"(22,4)","(19,7)",554,482,1.6506554843222692,10.849580165893665,12.890546843671668,211.77411540413559,198.8835685604639,16.428637044835803,4.242640687119285,True,False,False,nan,nan,True,25.184999999999928,0.0,22
8,1003,17588,27.129999999999942,52.269771575927734,-22.501300811767578,"(20,0)","(18,1)",500,451,2.0298209101993203,9.554038479205262,12.917888645354719,211.03851892589745,198.12063028054274,16.336920430242834,2.23606797749979,True,False,True,28.16499999999995,-1.0350000000000072,True,27.129999999999942,0.0,23
4,1004,3968,25.739999999999924,10.056702613830566,39.04239273071289,"(16,22)","(16,17)",422,417,1.4433949327079445,14.555469797878546,14.951706882001139,210.72275217565533,195.7710452936542,14.093558269880432,5.0,True,False,False,nan,nan,True,26.064999999999863,-0.3249999999999389,24
9,1003,17524,31.539999999999957,57.848270416259766,-22.947641372680664,"(22,0)","(21,7)",550,532,1.9123739907171746,14.590837584889657,15.321304060696063,214.7844082184758,199.46310415777972,14.018676697988456,7.0710678118654755,True,False,False,nan,nan,True,31.539999999999957,0.0,25
4,1001,12434,22.899999999999917,-49.50864028930664,10.832159042358398,"(3,17)","(7,13)",92,188,1.2492479088187392,14.621912144303602,15.167212843896616,204.93171274213162,189.76449989823502,13.51149448823074,5.656854249492381,False,False,True,28.564999999999923,-5.665000000000006,True,24.374999999999975,-1.4750000000000583,26
10,1003,15049,25.14999999999997,55.357566833496094,-13.255277633666992,"(21,4)","(16,3)",529,403,1.1038481187071947,19.809592431054284,20.530042289691632,220.11748388773833,199.5874415980467,10.721725790027321,5.0990195135927845,True,True,True,27.339999999999943,-2.189999999999973,True,25.509999999999923,-0.35999999999995325,27
5,1001,15055,24.349999999999973,-34.39610290527344,5.515227794647217,"(7,13)","(8,13)",188,213,1.934862920296024,1.9532271044377307,1.9646011444807774,5.295339474853248,3.33073833037247,2.6953763565340627,1.0,True,True,True,24.374999999999975,-0.02500000000000213,True,24.349999999999973,0.0,28
6,1001,11751,24.334999999999905,-24.905662536621094,10.482914924621582,"(10,16)","(10,17)",266,267,0.8804115696780412,0.9990692532512723,1.0050010711374784,2.6059667867191956,1.6009657155817172,2.592999014189821,1.0,True,True,True,24.39499999999995,-0.060000000000044906,True,24.334999999999905,0.0,29
7,1001,6576,15.674999999999976,5.473211765289307,15.56594181060791,"(19,20)","(18,20)",495,470,1.8221053678062775,2.082657129669259,2.134982387495271,5.410607054643557,3.275624667148286,2.534263086353232,1.0,True,True,True,13.644999999999975,2.030000000000001,True,15.674999999999976,0.0,30
3,1002,19514,14.217000000000002,-10.293685913085938,10.780914306640625,"(11,18)","(11,17)",293,292,1.123925851598734,1.365875551611472,1.5380553780368316,3.897676400680645,2.3596210226438132,2.534158689172574,1.0,False,False,True,20.854999999999954,-6.637999999999952,True,22.92499999999995,-8.707999999999949,31
8,1001,7524,11.055000000000033,5.554806232452393,16.302553176879883,"(19,20)","(18,20)",495,470,1.5829179848397994,2.027871028883805,2.144973291334984,5.4205979584832695,3.2756246671482856,2.5271167619572594,1.0,False,False,True,13.644999999999975,-2.5899999999999412,True,15.674999999999976,-4.619999999999942,32
5,1004,17371,9.877999999999988,-11.633648872375488,10.673556327819824,"(8,13)","(8,12)",213,212,1.2597271215508525,1.9249445973329073,2.072231786483319,5.178728069572252,3.1064962830889336,2.4991065687496348,1.0,True,True,True,11.001999999999988,-1.1240000000000006,True,11.365999999999973,-1.4879999999999853,33
8,1005,7363,23.079999999999924,28.755233764648438,8.109261512756348,"(18,18)","(17,18)",468,443,1.8137000454286116,2.044443632703629,2.2245528596697075,5.544777288802305,3.320224429132597,2.492535641353818,1.0,True,True,True,25.88999999999991,-2.809999999999988,True,25.32499999999991,-2.244999999999987,34
9,1005,7835,6.432999999999993,-4.447585582733154,-14.59155559539795,"(8,8)","(9,8)",208,233,1.5794994662146207,2.1852767065452428,2.236351386967387,5.539048148286845,3.302696761319458,2.476823714093559,1.0,False,False,True,14.501000000000012,-8.06800000000002,True,11.627000000000006,-5.194000000000013,35
10,1005,8882,21.82999999999996,26.654245376586914,7.54532527923584,"(17,17)","(17,18)",442,443,1.1906394416179866,1.211345932546487,1.2253580626296965,3.0273968423850706,1.802038779755374,2.4706222080818434,1.0,False,False,False,nan,nan,True,25.32499999999991,-3.4949999999999513,36
4,1002,5620,3.0189999999999984,12.244827270507812,10.718854904174805,"(18,18)","(18,17)",468,467,1.1397424108540362,1.266593765857414,1.3325511382397248,3.2784094357112386,1.9458582974715137,2.4602503736118946,1.0,False,False,True,7.300999999999997,-4.281999999999998,True,6.676999999999996,-3.6579999999999977,37
11,1003,17111,22.47999999999993,45.88933563232422,-7.89704704284668,"(19,7)","(18,8)",482,458,1.4106327546485942,2.7942664717234034,2.8018154845373093,6.885794653071242,4.083979168533933,2.4576188871368023,1.4142135623730951,True,False,True,25.184999999999928,-2.7049999999999983,True,22.47999999999993,0.0,38
11,1005,18754,17.209999999999944,25.480363845825195,-13.879488945007324,"(17,8)","(16,9)",433,409,1.7826042549547616,2.600287572364681,2.8835198976754977,7.066784147027614,4.183264249352117,2.450749222408483,1.4142135623730951,False,False,True,24.01499999999993,-6.8049999999999855,True,23.79499999999993,-6.584999999999987,39
