evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still
11099,mutated_elite,7.35700000000002,-0.2750584818385747,0.15054388742790145,-2.182382822036743,-1.4855564832687378,14,8,False,False,False,244,2,114,0,7.503165245056152,1.0041486024856567,2.573697241530845,2.0006299018859863,True,False
11100,mutated_elite,13.434999999999915,0.3610512264827754,0.41003086439211733,-4.816225528717041,-1.0957294702529907,8,9,False,False,False,280,3,3,0,5.954953670501709,1.5887351036071777,13.195104639508381,3.328458309173584,True,False
11101,mutated_elite,2.76999999999999,0.9578293176155098,-0.30518995047735786,-3.669236660003662,-2.9822256565093994,10,4,True,True,False,195,1,118,0,4.8682451248168945,1.7619242668151855,1.393157024211095,3.3541922569274902,True,False
11102,mutated_elite,-1.479999999999999,0.7891791249106492,-0.97331083600244,-1.6138113737106323,2.3693082332611084,15,20,False,False,False,150,0,110,0,2.3357412815093994,1.5416303873062134,1.7741827698278136,0.7018256783485413,True,False
11103,mutated_elite,13.754999999999965,0.5240779701838959,-0.9282681957139977,-6.43031120300293,-1.0185776948928833,4,10,False,False,False,280,3,17,0,7.377963542938232,1.2811716794967651,9.91831804599117,3.7721002101898193,True,False
11104,mutated_elite,-2.5890000000000004,-0.9720441828116182,-0.4011738848573859,0.9448485374450684,-0.3270215392112732,21,12,False,False,False,152,0,128,0,1.7255655527114868,0.41284438967704773,1.1245633260859194,0.20312011241912842,True,False
11105,mutated_elite,8.721999999999994,-0.9578179406923626,0.44938229972327587,0.30349111557006836,-0.2572203576564789,19,12,False,False,False,219,2,10,0,8.532052993774414,1.2379716634750366,9.806543366261744,0.960936427116394,True,False
11106,mutated_elite,10.739999999999998,0.2744847225382463,-0.715893934158338,-5.920117378234863,-0.7534669637680054,5,10,False,False,False,220,2,15,7,8.84228515625,0.9974722266197205,5.1441979545301235,3.3803985118865967,True,False
11107,mutated_elite,5.200999999999998,-0.7369632120016564,-0.954543017265677,0.6192295551300049,0.28508782386779785,20,13,False,False,False,187,1,9,0,5.125924587249756,0.21132846176624298,9.187127777939555,0.6355057954788208,True,False
11108,mutated_elite,-0.21700000000000055,0.9708586905971152,-0.9163763512356705,-0.6900891065597534,1.4096976518630981,17,17,False,False,False,146,0,82,0,3.768181324005127,1.7152814865112305,2.3917932150433603,1.0860711336135864,True,False
11109,mutated_elite,7.720999999999986,-0.05233754173942987,0.6051502962420287,-2.4566378593444824,-2.1271424293518066,13,6,False,False,False,202,2,9,11,5.987526893615723,1.509796142578125,11.109751352563219,1.6780674457550049,True,False
11110,mutated_elite,4.611,-0.2780382254034082,0.14292373254514587,-1.0338423252105713,-0.7369201183319092,16,10,False,False,False,202,1,1,0,1.2650179862976074,1.0083991289138794,1.1106942475212547,0.44955679774284363,True,False
11111,mutated_elite,6.346999999999999,0.5930522581582317,-0.39270722072659675,-1.415315866470337,1.9123963117599487,15,18,False,False,False,184,1,11,5,5.906920909881592,1.3613907098770142,5.243019559953573,1.4477802515029907,True,False
11112,mutated_elite,13.225999999999962,-0.10645754067770813,-0.728531267186119,-5.689386367797852,-0.9386881589889526,6,10,False,False,False,262,3,21,7,9.342782020568848,0.6201618313789368,8.668355178819484,3.6265616416931152,True,False
