euclidean_final_xy,maze_geodesic_shortest_path,ratio,shortest_path_touches_horseshoe_region
0.40747439,2.04521058,5.01923714,true
0.78285856,2.80550728,3.58367068,true
1.04337381,2.99315664,2.86872894,true
0.59796991,2.85794845,4.77941851,true
0.78889268,2.79707870,3.54557569,true
0.56016139,2.82218900,5.03817125,true
0.79049741,2.79707870,3.53837805,true
0.78625514,2.79707870,3.55746954,true
0.78912408,2.78269021,3.52630248,true
1.46273054,1.75207989,1.19781453,true
0.62246362,2.63676020,4.23600693,true
1.06965091,3.07948758,2.87896503,true
0.77558334,2.79111879,3.59873485,true
0.79540951,2.78865012,3.50593006,true
0.79743062,2.80303861,3.51508776,true
0.73177792,2.04683214,2.79706736,true
0.62843671,2.02792986,3.22694368,true
1.27184584,2.06615798,1.62453492,true
0.94627704,2.37938895,2.51447395,true
0.85227774,2.99502632,3.51414352,true
0.79877118,2.90869538,3.64146261,true
0.77949390,2.80550728,3.59913950,true
1.02553686,3.03879078,2.96312196,true
0.79499704,2.80303861,3.52584786,true
0.79394367,2.79707870,3.52301907,true
1.08586343,3.10826456,2.86248202,true
0.77547888,2.77673030,3.58066529,true
1.12121747,1.35660822,1.20994210,true
0.90128960,2.66715874,2.95926942,true
0.82828414,0.89617656,1.08196755,true
0.82205544,2.63139929,3.20099980,true
0.52613454,0.54591547,1.03759673,false
0.50442906,0.51551694,1.02198104,true
1.55065561,1.65280659,1.06587599,true
1.62399576,1.74365131,1.07367972,false
1.53425986,1.62402961,1.05851013,true
1.13275171,1.22668826,1.08292775,false
1.52964359,1.61806970,1.05780831,true
1.14799678,1.59278395,1.38744636,true
1.66793084,1.79379925,1.07546380,false
1.53282137,1.62402961,1.05950350,true
1.53159044,1.66225773,1.08531477,true
1.55566641,1.65280659,1.06244280,true
1.46752410,1.83304992,1.24907654,true
1.55762007,1.65280659,1.06111023,true
1.32725601,1.44847550,1.09133091,false
2.29012442,2.70044951,1.17917153,true
1.52880106,1.61210979,1.05449285,true
1.54687088,1.63245819,1.05532932,true
1.22393435,1.92618788,1.57376731,true
2.16897558,2.62297071,1.20931316,true
1.77995874,2.12737861,1.19518423,true
1.10056782,1.54612725,1.40484505,true
1.24881552,1.83245092,1.46735118,true
1.46119273,1.57448067,1.07753115,false
1.54994169,1.63841810,1.05708370,true
1.75381616,1.94015281,1.10624640,true
1.95177372,2.55656462,1.30986732,true
1.33661716,1.44847550,1.08368765,false
1.53244958,1.62402961,1.05976055,true
1.53475886,1.61806970,1.05428269,true
