dataset,seed,cell_x,cell_y,centroid_index,fitness,home_depth,bulk_depth,median_bulk_depth,centroid_to_home_euclidean,high_blowup_target,high_blowup_touch_count,any_disagreement_target,any_disagreement_touch_count,geodesic_assignment_count,log_geodesic_assignment_count
horseshoe,1001,18,7,457,14.57399999999997,4.04859740004389,23.28788314044838,18.294390796149713,3.9677195703873687,False,0,True,14,129,4.867534450455582
horseshoe,1001,18,8,458,17.18499999999996,3.640829240478548,22.672268254321867,17.439502166585708,3.610776779174799,False,0,True,15,223,5.4116460518550396
horseshoe,1001,18,9,459,18.579999999999952,4.041243944627375,22.231738452688525,16.661902350861396,3.967719570387368,False,0,True,9,274,5.616771097666572
horseshoe,1001,18,10,460,21.74999999999995,4.918160639062055,21.979171304881522,16.15719616178987,4.88447208097824,False,0,True,16,229,5.438079308923196
horseshoe,1001,18,11,461,20.61999999999993,6.188858434473362,21.891745431398824,15.808095859407574,6.114206057280935,False,0,True,12,152,5.030437921392435
horseshoe,1001,18,12,462,14.38199999999999,7.619942357270674,21.969545292981206,15.717337697839568,7.504608130498208,False,0,True,13,103,4.6443908991413725
horseshoe,1001,18,13,463,14.505999999999922,9.122649722958187,22.301922848344486,16.153928200101006,8.981366819933518,False,0,True,25,172,5.153291594497779
horseshoe,1001,18,14,464,15.374999999999968,10.689391060968802,23.189404460081043,17.16559836470675,10.508136656728427,False,0,True,2,8,2.1972245773362196
horseshoe,1001,18,15,465,15.164999999999953,12.159614692160947,22.936280084559954,18.15603604662846,12.065948007478342,False,0,True,4,9,2.302585092994046
horseshoe,1001,18,16,466,18.97499999999996,15.710738534956477,23.88797770659508,19.84092193094971,13.644172599402113,False,0,True,7,27,3.332204510175204
horseshoe,1001,18,17,467,21.004999999999963,16.727160082673766,24.40916745331118,20.523726837037696,15.236468416460367,True,1,True,16,50,3.9318256327243257
horseshoe,1001,18,18,468,19.149999999999963,18.486979092133016,25.213710386526994,21.804780865961185,16.838844169649146,False,0,True,10,49,3.912023005428146
horseshoe,1001,18,19,469,21.594999999999974,19.527713142769603,26.11985407468237,22.84551491659777,18.448673540774525,True,1,True,18,53,3.9889840465642745
horseshoe,1001,18,20,470,15.674999999999976,20.937751948604593,27.24995594428561,24.25555372243276,20.064162507785735,False,0,True,8,15,2.772588722239781
horseshoe,1001,18,21,471,9.361999999999975,22.463661098369432,28.477972649773587,25.766530045695575,21.68404616634104,False,0,True,1,4,1.6094379124341003
horseshoe,1001,19,4,479,3.4919999999999978,10.020011140331087,28.329605153758905,24.215838211132457,9.768944161956492,False,0,True,3,12,2.5649493574615367
horseshoe,1001,19,5,480,10.376999999999986,8.987243885069653,27.160872572406944,22.966717725133375,8.746235907976349,True,1,True,19,82,4.418840607796598
horseshoe,1001,19,6,481,16.324999999999896,8.02781254339901,26.06936707866996,21.515770438606935,7.935439140774751,False,0,True,17,116,4.762173934797756
horseshoe,1001,19,7,482,14.450999999999935,7.60520151531545,25.29205143268605,20.383267691953954,7.406478612425674,False,0,True,12,76,4.343805421853684
horseshoe,1001,19,8,483,15.213999999999968,7.418736909583552,24.77639042978271,19.80702275905235,7.221553558349612,False,0,True,14,74,4.31748811353631
horseshoe,1001,19,9,484,21.344999999999928,7.651378478693197,24.371127115038888,19.058238501198907,7.406478612425674,False,0,True,18,104,4.653960350157523
horseshoe,1001,19,10,485,18.784999999999922,8.086976462936962,24.10275111364021,18.734772195126048,7.93543914077475,False,0,True,14,116,4.762173934797756
horseshoe,1001,19,11,486,19.129999999999985,8.877545142528833,24.015967114533666,18.666474999740686,8.746235907976349,False,0,True,15,132,4.890349128221754
horseshoe,1001,19,12,487,16.57999999999997,9.806726744317519,24.09194894452914,18.626298108411177,9.768944161956492,False,0,True,16,64,4.174387269895637
horseshoe,1001,19,13,488,17.795000000000023,11.06688243000429,24.282594268949165,18.618630725832894,10.944317100727972,False,0,True,14,61,4.127134385045092
horseshoe,1001,19,14,489,13.470999999999993,12.583808487505403,24.682505506703283,19.065493742092137,12.228412114561879,False,0,True,17,159,5.075173815233827
horseshoe,1001,19,15,490,11.520000000000024,13.786101469017453,25.142327107585203,19.753943381204216,13.590446209240321,False,0,True,1,3,1.3862943611198906
horseshoe,1001,19,16,491,17.904999999999948,15.69913154775509,25.601024153316644,20.670783683373266,15.009216260996423,False,0,True,2,6,1.9459101490553132
horseshoe,1001,19,17,492,20.659999999999968,17.34768321882402,26.288244778925584,21.920863737475713,16.47006668635189,False,0,True,9,17,2.8903717578961645
horseshoe,1001,19,18,493,19.83999999999996,18.992105668583317,27.0237293232669,22.944523394426227,17.962733639867043,False,0,True,12,27,3.332204510175204
horseshoe,1001,19,19,494,18.494999999999973,20.63938730372544,27.96770589850488,23.992597374192254,19.47990457525801,False,0,False,0,4,1.6094379124341003
horseshoe,1001,19,20,495,13.644999999999975,22.283555732555634,29.08423037965003,25.26719327388072,21.016273313456853,False,0,False,0,1,0.6931471805599453
horseshoe,1001,20,4,504,0.049999999999992044,12.838317091988067,30.372276955234838,26.146283192741954,12.673626741567055,False,0,True,1,1,0.6931471805599453
horseshoe,1001,20,5,505,10.30499999999999,11.994853654515929,29.343058092310823,24.887583127670332,11.903158711162119,False,0,True,6,35,3.58351893845611
horseshoe,1001,20,6,506,11.308,11.571066751935101,28.51056757602882,23.724251463249935,11.320765835493626,False,0,True,6,20,3.044522437723423
horseshoe,1001,20,7,507,11.647999999999998,11.219848510443274,27.852691205151427,23.075434310943894,10.956480738880469,False,0,True,12,46,3.8501476017100584
horseshoe,1001,20,8,508,11.867999999999991,11.003744227058245,27.38193987860577,22.51939963808672,10.83233033752441,False,0,True,3,9,2.302585092994046
horseshoe,1001,20,9,509,19.019999999999943,11.067299855956511,26.93698143356808,22.14264995990306,10.956480738880469,False,0,True,2,9,2.302585092994046
horseshoe,1001,20,10,510,16.764999999999972,11.414048981424667,26.778467835795322,21.92189980005891,11.320765835493624,False,0,True,3,8,2.1972245773362196
horseshoe,1001,20,11,511,10.78699999999998,12.00955012497253,26.684176911895182,21.836788443483538,11.903158711162119,False,0,True,7,20,3.044522437723423
