evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
7250,598,0.9568,10328.514999999978,7338.514999999978,-5.0,27.08499999999996,12.271764214046785,0.9931403231767137,nan,nan,5,nan,-1
7275,598,0.9568,10329.087999999978,7339.087999999978,-5.0,27.08499999999996,12.272722408026718,0.9931403231767137,nan,nan,5,nan,-1
7300,598,0.9568,10343.125999999978,7353.1259999999775,-5.0,27.08499999999996,12.296197324414678,0.9931403231767137,nan,nan,5,nan,-1
7325,598,0.9568,10355.328999999976,7365.328999999978,-5.0,27.08499999999996,12.316603678929729,0.9931403231767137,nan,nan,5,nan,-1
7350,598,0.9568,10369.126999999977,7379.126999999977,-5.0,27.08499999999996,12.339677257525045,0.9931403231767137,nan,nan,5,nan,-1
7375,598,0.9568,10387.859999999979,7397.859999999977,-5.0,27.08499999999996,12.371003344481567,0.9931403231767137,nan,nan,5,nan,-1
7400,598,0.9568,10388.475999999977,7398.475999999977,-5.0,27.08499999999996,12.372033444816015,0.9931403231767137,nan,nan,5,nan,-1
7425,598,0.9568,10409.605999999978,7419.605999999976,-5.0,27.08499999999996,12.407367892976549,0.9931403231767137,nan,nan,5,nan,-1
7450,598,0.9568,10420.732999999978,7430.7329999999765,-5.0,27.08499999999996,12.42597491638792,0.9931403231767137,nan,nan,5,nan,-1
7475,598,0.9568,10426.369999999977,7436.369999999977,-5.0,27.08499999999996,12.435401337792603,0.9931403231767137,nan,nan,5,nan,-1
7500,598,0.9568,10428.695999999976,7438.695999999977,-5.0,27.08499999999996,12.439290969899627,0.9931403231767137,nan,nan,5,nan,-1
7525,598,0.9568,10433.305999999977,7443.305999999977,-5.0,27.08499999999996,12.446999999999962,0.9931403231767137,nan,nan,5,nan,-1
7550,598,0.9568,10433.707999999975,7443.707999999977,-5.0,27.08499999999996,12.447672240802637,0.9931403231767137,nan,nan,5,nan,-1
7575,598,0.9568,10433.707999999975,7443.707999999977,-5.0,27.08499999999996,12.447672240802637,0.9931403231767137,nan,nan,5,nan,-1
7600,598,0.9568,10441.489999999976,7451.489999999977,-5.0,27.08499999999996,12.460685618729059,0.9931403231767137,nan,nan,5,nan,-1
7625,598,0.9568,10442.982999999977,7452.9829999999765,-5.0,27.08499999999996,12.463182274247453,0.9931403231767137,nan,nan,5,nan,-1
7650,598,0.9568,10456.012999999977,7466.012999999977,-5.0,27.08499999999996,12.484971571906316,0.9931403231767137,nan,nan,5,nan,-1
7675,598,0.9568,10456.012999999977,7466.012999999977,-5.0,27.08499999999996,12.484971571906316,0.9931403231767137,nan,nan,5,nan,-1
7700,598,0.9568,10462.218999999975,7472.218999999976,-5.0,27.08499999999996,12.49534949832772,0.9931403231767137,nan,nan,5,nan,-1
7725,598,0.9568,10479.178999999975,7489.178999999976,-5.0,27.08499999999996,12.523710702341099,0.9931403231767137,nan,nan,5,nan,-1
7750,598,0.9568,10493.204999999976,7503.204999999976,-5.0,27.08499999999996,12.547165551839425,0.9931403231767137,nan,nan,5,nan,-1
7775,598,0.9568,10503.599999999977,7513.599999999977,-5.0,27.08499999999996,12.564548494983239,0.9931403231767137,nan,nan,5,nan,-1
7800,598,0.9568,10503.855999999976,7513.855999999976,-5.0,27.08499999999996,12.564976588628722,0.9931403231767137,nan,nan,5,nan,-1
7825,598,0.9568,10515.540999999976,7525.540999999976,-5.0,27.08499999999996,12.584516722407987,0.9931403231767137,nan,nan,5,nan,-1
7850,598,0.9568,10522.393999999975,7532.393999999977,-5.0,27.08499999999996,12.595976588628723,0.9931403231767137,nan,nan,5,nan,-1
7875,598,0.9568,10525.957999999975,7535.957999999977,-5.0,27.08499999999996,12.60193645484946,0.9931403231767137,nan,nan,5,nan,-1
7900,598,0.9568,10548.009999999977,7558.009999999976,-5.0,27.08499999999996,12.63881270903006,0.9931403231767137,nan,nan,5,nan,-1
7925,598,0.9568,10567.431999999977,7577.431999999975,-5.0,27.08499999999996,12.671290969899625,0.9931403231767137,nan,nan,5,nan,-1
7950,599,0.9584,10588.433999999976,7593.433999999976,-5.0,27.08499999999996,12.67685141903168,0.9933998616391654,nan,nan,5,nan,-1
7975,599,0.9584,10595.920999999977,7600.920999999976,-5.0,27.08499999999996,12.689350584307139,0.9933998616391654,nan,nan,5,nan,-1
8000,599,0.9584,10601.191999999975,7606.191999999976,-5.0,27.08499999999996,12.698150250417322,0.9933998616391654,1.0523442108356214,1.2177153750298138,5,1.0,0
8025,599,0.9584,10605.682999999975,7610.682999999976,-5.0,27.08499999999996,12.7056477462437,0.9933998616391654,nan,nan,5,nan,-1
8050,599,0.9584,10616.689999999975,7621.689999999976,-5.0,27.08499999999996,12.724023372287105,0.9933998616391654,nan,nan,5,nan,-1
8075,599,0.9584,10623.197999999975,7628.197999999977,-5.0,27.08499999999996,12.73488814691148,0.9933998616391654,nan,nan,5,nan,-1
8100,599,0.9584,10637.004999999976,7642.004999999976,-5.0,27.08499999999996,12.757938230383932,0.9933998616391654,nan,nan,5,nan,-1
8125,599,0.9584,10643.289999999975,7648.289999999975,-5.0,27.08499999999996,12.768430717863064,0.9933998616391654,nan,nan,5,nan,-1
8150,599,0.9584,10643.326999999976,7648.326999999976,-5.0,27.08499999999996,12.768492487479092,0.9933998616391654,nan,nan,5,nan,-1
8175,599,0.9584,10651.362999999976,7656.362999999976,-5.0,27.08499999999996,12.78190818030046,0.9933998616391654,nan,nan,5,nan,-1
8200,599,0.9584,10670.365999999976,7675.365999999975,-5.0,27.08499999999996,12.813632721201962,0.9933998616391654,nan,nan,5,nan,-1
8225,599,0.9584,10678.687999999976,7683.687999999976,-5.0,27.08499999999996,12.827525876460728,0.9933998616391654,nan,nan,5,nan,-1
