evaluation,source,fitness,descriptor_x,descriptor_y,cell_x,cell_y,inserted,replaced,steps,food_collected,wall_collisions,hazard_contacts
1176,mutated_elite,4.775999999999997,-0.41448068608878735,-0.39226963984368574,7,7,False,False,192,1,12,0
1177,mutated_elite,4.348999999999997,-0.2245378435151593,-0.7888371246880443,9,2,False,False,183,1,17,0
1178,mutated_elite,9.55999999999996,-0.8856425474522224,-0.4440763653145677,1,6,True,True,280,3,12,0
1179,mutated_elite,8.011999999999997,-0.6534489993740623,-0.6988082011775599,4,3,False,False,224,2,7,0
1180,mutated_elite,7.994999999999995,-0.36331797178956143,-0.4399999022537679,7,7,True,True,215,2,26,0
1181,mutated_elite,8.185999999999993,-0.25722427699233597,-0.7330819004300914,9,3,True,True,212,2,16,0
1182,mutated_elite,1.3520000000000019,-0.8353384305918019,-0.19667342716451508,2,10,True,False,154,0,12,0
1183,mutated_elite,5.278999999999999,-0.3448647170553553,-0.9554414227894108,8,0,False,False,183,1,11,0
1184,mutated_elite,10.382999999999969,-0.49762032996632954,0.8541391156911406,6,23,True,True,221,2,11,0
1185,mutated_elite,2.314,-0.7785340247062149,-0.271064677305634,2,9,False,False,153,0,1,0
1186,mutated_elite,2.122,-0.7902948689979551,0.05859407868009101,2,13,True,False,149,0,12,0
1187,mutated_elite,8.292999999999983,-0.8381862079962643,-0.9371202403127286,2,0,True,True,216,2,10,0
1188,mutated_elite,1.534000000000001,-0.8504138066020714,-0.8726539510428336,1,1,False,False,158,0,0,0
1189,mutated_elite,8.999999999999929,-0.4589255098197171,0.17998189035389844,6,14,True,True,230,2,14,0
1190,mutated_elite,4.915999999999997,0.08778036248442848,-0.7540782768627882,13,3,True,True,182,1,16,0
1191,mutated_elite,9.684999999999933,-0.40759490113022984,0.504563548085497,7,18,True,True,230,2,6,0
1192,mutated_elite,7.630999999999999,-0.8323665272245767,-0.7033649785731024,2,3,False,False,232,2,3,0
1193,mutated_elite,2.0640000000000005,0.2777012371543072,-0.7885681886937744,15,2,True,False,153,0,3,0
1194,mutated_elite,3.077000000000001,0.332864282855483,-0.3662017211304864,16,7,True,False,204,1,113,0
1195,mutated_elite,5.754999999999998,-0.15426640806320288,0.923369714441359,10,24,True,False,190,1,8,0
1196,mutated_elite,17.034999999999936,-0.12598451244879366,0.42837146100458323,10,17,True,False,280,4,10,4
1197,mutated_elite,-0.022000000000000318,-0.5173692347241805,0.9748438551710492,6,24,True,True,206,1,179,0
1198,mutated_elite,8.48399999999998,-0.871086060694263,0.07937326025390781,1,13,True,True,218,2,14,0
1199,mutated_elite,7.038999999999998,-0.8110307932869336,-0.871783770373017,2,1,False,False,233,2,15,0
1200,mutated_elite,9.69399999999996,0.43640897737849854,0.12126708653705161,17,14,True,False,238,2,5,0
1201,mutated_elite,8.260999999999987,-0.39379022057957586,-0.7614606600835925,7,2,True,True,222,2,11,0
1202,mutated_elite,1.9910000000000005,-0.6296820942688749,-0.3709480463363103,4,7,False,False,152,0,1,0
1203,mutated_elite,9.458999999999929,-0.38392142727372586,0.4250119180296701,7,17,True,False,233,2,8,0
1204,mutated_elite,5.911999999999996,-0.4194303851317357,0.4430181704516673,7,18,False,False,179,1,10,0
1205,mutated_elite,6.593999999999998,-0.8269311462566105,-0.3986664650587088,2,7,False,False,233,2,20,0
1206,mutated_elite,0.9929999999999957,-0.9058502544450904,0.6720549314272849,1,20,True,False,201,1,108,0
1207,mutated_elite,2.22,-0.9024254438051467,-0.6071527698104471,1,4,False,False,140,0,38,0
1208,mutated_elite,9.691999999999968,-0.36184719668417,0.009751815569533535,7,12,True,True,229,2,12,0
1209,mutated_elite,13.675999999999938,-0.08630218982876911,0.6110702257102317,11,20,True,True,267,3,9,4
1210,mutated_elite,5.361999999999997,-0.7331898166460623,-0.39231372111536894,3,7,False,False,179,1,18,0
1211,mutated_elite,-2.7100000000000013,0.9649609159790764,-0.971519190707365,24,0,False,False,155,0,136,0
1212,mutated_elite,2.3160000000000003,-0.7292911750843418,-0.7932314696394693,3,2,False,False,152,0,2,0
1213,mutated_elite,8.480999999999982,-0.6224166898671919,-0.5493520206555937,4,5,True,True,212,2,14,0
1214,mutated_elite,0.5870000000000041,-0.974416300410652,0.8365379784197271,0,22,False,False,204,1,165,0
1215,mutated_elite,4.074999999999996,-0.9204143832815234,0.057200181680606615,0,13,False,False,190,1,38,0
1216,mutated_elite,8.729999999999986,-0.43118917401152174,0.5744717656727837,7,19,True,True,225,2,6,0
1217,mutated_elite,0.04500000000000028,-0.9749781085624737,-0.39740328472999265,0,7,False,False,160,0,43,0
1218,mutated_elite,7.078000000000001,-0.5776273375386495,-0.4341534085903973,5,7,False,False,251,2,0,0
1219,mutated_elite,4.494,-0.9749765498288223,0.02311738563473813,0,12,False,False,203,1,2,0
1220,mutated_elite,3.2689999999999966,-0.9071175385812241,-0.9737123926883893,1,0,False,False,183,1,62,0
1221,mutated_elite,5.254999999999995,-0.05506238230846572,0.9730435646723281,11,24,False,False,190,1,57,3
1222,mutated_elite,9.793,0.4743260390313781,-0.32175429224051694,18,8,True,False,226,2,26,3
1223,mutated_elite,7.667,-0.6527754381651214,-0.7969730967404737,4,2,False,False,239,2,1,0
1224,mutated_elite,1.0820000000000005,-0.8194337805352321,-0.8896941453108004,2,1,False,False,154,0,12,0
1225,mutated_elite,1.6730000000000012,-0.2817312074410237,-0.5392316501563907,8,5,False,False,151,0,6,0
1226,mutated_elite,5.085999999999998,-0.8323755406814362,0.19966435047952902,2,14,False,False,187,1,11,0
1227,mutated_elite,12.98899999999991,-0.3899405255365589,0.24304304367382124,7,15,True,True,278,3,16,0
1228,mutated_elite,9.654999999999955,-0.4065482629687929,0.9486657648781448,7,24,True,True,245,2,12,0
1229,mutated_elite,2.104999999999998,0.2317811058467273,-0.7256020949510796,15,3,False,False,140,0,31,0
1230,mutated_elite,7.3549999999999995,-0.8225570422682167,-0.6231893760524952,2,4,False,False,230,2,4,0
1231,mutated_elite,4.959999999999999,0.06053349728875908,-0.8543184160673177,13,1,True,True,185,1,9,0
1232,mutated_elite,3.4999999999999982,-0.8862693560102519,-0.10226738020109616,1,11,True,True,135,0,8,0
1233,mutated_elite,7.8389999999999995,-0.7350338593955864,-0.5431628056486172,3,5,True,True,228,2,9,0
1234,mutated_elite,4.836999999999999,-0.944090359919261,-0.5333576504427405,0,5,False,False,189,1,7,0
1235,mutated_elite,10.727999999999968,-0.38879765381736325,-0.6581662037962921,7,4,True,True,266,3,14,0
1236,mutated_elite,-1.9309999999999978,-0.9749869391580673,-0.6922001063131134,0,3,False,False,158,0,108,0
1237,mutated_elite,5.773999999999997,0.47828403365733096,-0.1402613564915268,18,10,True,True,188,1,7,0
1238,mutated_elite,16.289999999999928,-0.7345621501614021,0.7506790967057513,3,21,True,False,280,4,14,7
1239,mutated_elite,4.473999999999996,-0.02284894329825459,0.5670285918986796,12,19,False,False,168,1,10,6
1240,mutated_elite,8.197999999999986,-0.5238247865675948,-0.43928106961444263,5,7,True,True,226,2,6,0
1241,mutated_elite,1.809000000000001,-0.6537186176281761,-0.01594900283721764,4,12,False,False,153,0,9,0
1242,mutated_elite,6.238999999999996,-0.15107096023790847,0.8358045532820673,10,22,True,False,178,1,12,0
1243,mutated_elite,6.290999999999996,-0.38648373116263907,0.4075517888764917,7,17,False,False,182,1,5,0
1244,mutated_elite,1.296000000000001,-0.7117776101036206,-0.7198360610035791,3,3,False,False,162,0,0,0
1245,mutated_elite,6.324999999999997,-0.9743873160926851,-0.6455638939732549,0,4,True,True,240,2,28,0
1246,mutated_elite,8.129999999999994,-0.3017107079089555,-0.21151036644007515,8,9,False,False,225,2,9,0
1247,mutated_elite,5.321999999999997,-0.46532792442597015,0.14860206132130374,6,14,False,False,184,1,10,0
1248,mutated_elite,5.218999999999998,0.20926574618329397,-0.8291328840377983,15,2,True,True,188,1,10,0
1249,mutated_elite,5.206999999999998,-0.37741271980855595,-0.8010050270085074,7,2,False,False,189,1,8,0
1250,mutated_elite,3.017999999999999,-0.9398194756631492,0.7718594275546949,0,22,False,False,146,0,5,0
1251,mutated_elite,2.8659999999999988,-0.9581425318218174,0.6924699013428731,0,21,False,False,137,0,15,0
1252,mutated_elite,14.190999999999942,-0.14675520220794086,-0.7385159716880816,10,3,True,True,277,3,9,6
1253,mutated_elite,-1.743999999999997,-0.561994238283111,-0.7566286019254764,5,3,False,False,152,0,109,0
1254,mutated_elite,9.267999999999962,-0.02579685961521302,0.5299929864860692,12,19,True,True,226,2,8,3
1255,mutated_elite,12.320999999999966,0.016980045399733718,0.8230645389413185,12,22,True,False,262,3,11,8
