map,seed,evaluation,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction
horseshoe,1004,11500,5,594,122,472,10,0.9377104377104377,215,0.344
horseshoe,1004,11500,10,594,122,472,5,0.9915824915824916,251,0.4016
horseshoe,1004,11500,20,594,122,472,2,0.9966329966329966,321,0.5136
horseshoe,1004,11500,30,594,122,472,1,1.0,361,0.5776
horseshoe,1004,11750,3,604,125,479,37,0.5695364238410596,181,0.2896
horseshoe,1004,11750,5,604,125,479,11,0.8857615894039735,213,0.3408
horseshoe,1004,11750,10,604,125,479,6,0.9900662251655629,247,0.3952
horseshoe,1004,11750,20,604,125,479,3,0.9933774834437086,321,0.5136
horseshoe,1004,11750,30,604,125,479,1,1.0,362,0.5792
horseshoe,1004,12000,3,606,126,480,40,0.5,182,0.2912
horseshoe,1004,12000,5,606,126,480,11,0.8910891089108911,211,0.3376
horseshoe,1004,12000,10,606,126,480,4,0.9917491749174917,245,0.392
horseshoe,1004,12000,20,606,126,480,3,0.9917491749174917,325,0.52
horseshoe,1004,12000,30,606,126,480,2,0.9966996699669967,363,0.5808
horseshoe,1004,12250,3,606,129,477,31,0.5247524752475248,180,0.288
horseshoe,1004,12250,5,606,129,477,9,0.9026402640264026,208,0.3328
horseshoe,1004,12250,10,606,129,477,5,0.9884488448844885,245,0.392
horseshoe,1004,12250,20,606,129,477,3,0.9917491749174917,324,0.5184
horseshoe,1004,12250,30,606,129,477,2,0.9966996699669967,364,0.5824
horseshoe,1004,12500,3,614,131,483,32,0.752442996742671,182,0.2912
horseshoe,1004,12500,5,614,131,483,11,0.9576547231270358,211,0.3376
horseshoe,1004,12500,10,614,131,483,6,0.9869706840390879,247,0.3952
horseshoe,1004,12500,20,614,131,483,1,1.0,324,0.5184
horseshoe,1004,12500,30,614,131,483,1,1.0,365,0.584
horseshoe,1004,12750,3,614,136,478,32,0.8029315960912052,190,0.304
horseshoe,1004,12750,5,614,136,478,13,0.9381107491856677,219,0.3504
