map,seed,snapshot_evaluation,encoder_space,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction,support_finite_pair_fraction,support_mean_euclidean_finite,support_mean_geodesic_finite,support_geodesic_to_euclidean_ratio
horseshoe,1005,2000,pre_retrain_encoder,10,567,105,462,6,0.9858906525573192,251,0.4016,0.40590220839743263,13.577580337247172,15.645887102232836,1.1523325006085001
horseshoe,1005,2000,pre_retrain_encoder,20,567,105,462,3,0.9911816578483245,338,0.5408,0.5077186843158138,16.72556663299455,17.828569835277765,1.0659471350948027
horseshoe,1005,2000,pre_retrain_encoder,30,567,105,462,2,0.9964726631393298,395,0.632,0.6173130131466986,20.752147593603592,22.401987680274743,1.0795021372717915
horseshoe,1005,10000,final_one_retrain_encoder,3,635,141,494,46,0.3637795275590551,217,0.3472,0.06687595345260158,7.483329021943882,12.287273098087377,1.6419528076417005
horseshoe,1005,10000,final_one_retrain_encoder,5,635,141,494,13,0.8976377952755905,243,0.3888,0.33142075469319315,14.50603611549718,20.340116142548442,1.4021829244460906
horseshoe,1005,10000,final_one_retrain_encoder,10,635,141,494,5,0.988976377952756,261,0.4176,0.45957487045652257,17.256345065587297,19.481334375064915,1.1289374604541667
horseshoe,1005,10000,final_one_retrain_encoder,20,635,141,494,3,0.9968503937007874,338,0.5408,0.5581426428130162,19.69939032398045,20.678569146044268,1.0497060470380064
horseshoe,1005,10000,final_one_retrain_encoder,30,635,141,494,2,0.9984251968503937,385,0.616,0.6340091027144243,21.93910017571689,22.721138304110443,1.0356458615955062
horseshoe,1005,20000,final_one_retrain_encoder,3,684,192,492,58,0.3932748538011696,254,0.4064,0.06064694434904904,5.888611965628747,8.718205374843333,1.480519590309337
horseshoe,1005,20000,final_one_retrain_encoder,5,684,192,492,10,0.9371345029239766,278,0.4448,0.42710545435855746,16.8196886393658,24.81314969683808,1.475244294282827
horseshoe,1005,20000,final_one_retrain_encoder,10,684,192,492,2,0.9956140350877193,297,0.4752,0.5456834944152807,19.9509018580339,23.018137631494618,1.1537392041365584
horseshoe,1005,20000,final_one_retrain_encoder,20,684,192,492,2,0.9956140350877193,379,0.6064,0.6376006616157722,21.816050854622233,22.88704172606726,1.0490918763703796
horseshoe,1005,20000,final_one_retrain_encoder,30,684,192,492,1,1.0,431,0.6896,0.7254586571909831,23.835593823554095,24.773278583928597,1.0393396853175059
open,1001,2000,pre_retrain_encoder,3,571,98,473,37,0.7320490367775832,169,0.2704,0.14457536278529548,3.1413307809078153,4.698753989664219,1.495784531263633
open,1001,2000,pre_retrain_encoder,5,571,98,473,16,0.9299474605954466,173,0.2768,0.27662361287975257,7.737044000299711,9.989027545314842,1.2910651076726325
open,1001,2000,pre_retrain_encoder,10,571,98,473,5,0.989492119089317,207,0.3312,0.37898154237975956,10.944126045282712,12.107154102593924,1.1062696146315416
open,1001,2000,pre_retrain_encoder,20,571,98,473,2,0.9982486865148862,270,0.432,0.46463105749989503,13.336110939836328,14.082378549417399,1.0559584134346014
open,1001,2000,pre_retrain_encoder,30,571,98,473,2,0.9982486865148862,318,0.5088,0.5070989770644128,14.376776944994935,14.862626648634945,1.0337940628486382
