evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
10800,log,236,0.3776,5213.681999999993,4033.681999999994,-5.0,30.81999999999994,17.091872881355908,0.8487173942550784,nan,nan,5,nan,-1
10900,log,238,0.3808,5269.111999999994,4079.1119999999937,-5.0,30.81999999999994,17.139126050420142,0.8500282352295372,nan,nan,5,nan,-1
11000,log,239,0.3824,5301.491999999993,4106.491999999993,-5.0,30.81999999999994,17.18197489539746,0.8506795306643662,18.51812898621665,20.50579986898436,5,1.0,0
11100,log,239,0.3824,5307.871999999994,4112.871999999994,-5.0,30.81999999999994,17.20866945606692,0.8506795306643662,nan,nan,5,nan,-1
11200,log,239,0.3824,5310.963999999994,4115.963999999994,-5.0,30.81999999999994,17.22160669456064,0.8506795306643662,nan,nan,5,nan,-1
11300,log,239,0.3824,5315.953999999994,4120.953999999994,-5.0,30.81999999999994,17.242485355648512,0.8506795306643662,nan,nan,5,nan,-1
11400,log,242,0.3872,5420.908999999993,4210.908999999993,-5.0,30.81999999999994,17.400450413223112,0.8526171907208374,nan,nan,5,nan,-1
11500,log,242,0.3872,5427.533999999992,4217.533999999993,-5.0,30.81999999999994,17.427826446280964,0.8526171907208374,nan,nan,5,nan,-1
11600,log,244,0.3904,5494.637999999993,4274.637999999994,-5.0,30.81999999999994,17.519008196721284,0.8538956648814323,nan,nan,5,nan,-1
11700,log,244,0.3904,5509.381999999993,4289.381999999993,-5.0,30.81999999999994,17.57943442622948,0.8538956648814323,nan,nan,5,nan,-1
11800,log,244,0.3904,5518.079999999993,4298.079999999993,-5.0,30.81999999999994,17.615081967213083,0.8538956648814323,nan,nan,5,nan,-1
11900,log,244,0.3904,5519.888999999994,4299.888999999994,-5.0,30.81999999999994,17.62249590163932,0.8538956648814323,nan,nan,5,nan,-1
12000,log,245,0.392,5553.068999999993,4328.068999999994,-5.0,30.81999999999994,17.665587755102017,0.8545309775610839,18.84348152448217,20.941247870924503,5,1.0,0
12100,log,245,0.392,5564.9769999999935,4339.9769999999935,-5.0,30.81999999999994,17.714191836734667,0.8545309775610839,nan,nan,5,nan,-1
12200,log,246,0.3936,5600.508999999993,4370.508999999994,-5.0,30.81999999999994,17.766296747967456,0.8551637024018754,nan,nan,5,nan,-1
12300,log,246,0.3936,5601.893999999994,4371.893999999994,-5.0,30.81999999999994,17.771926829268267,0.8551637024018754,nan,nan,5,nan,-1
12400,log,246,0.3936,5602.951999999994,4372.951999999994,-5.0,30.81999999999994,17.776227642276396,0.8551637024018754,nan,nan,5,nan,-1
12500,log,248,0.3968,5652.6419999999935,4412.6419999999935,-5.0,30.81999999999994,17.792911290322554,0.8564214722993756,nan,nan,5,nan,-1
12600,log,248,0.3968,5658.425999999993,4418.425999999993,-5.0,30.81999999999994,17.816233870967714,0.8564214722993756,nan,nan,5,nan,-1
12700,log,250,0.4,5727.296999999993,4477.296999999993,-5.0,30.81999999999994,17.909187999999972,0.8576691395183482,nan,nan,5,nan,-1
12800,log,250,0.4,5727.401999999993,4477.401999999993,-5.0,30.81999999999994,17.90960799999997,0.8576691395183482,nan,nan,5,nan,-1
12900,log,251,0.4016,5753.724999999993,4498.724999999993,-5.0,30.81999999999994,17.923207171314715,0.8582892350869155,nan,nan,5,nan,-1
13000,log,251,0.4016,5761.785999999993,4506.785999999993,-5.0,30.81999999999994,17.95532270916332,0.8582892350869155,19.006031330477498,20.970018836336234,5,1.0,0
13100,log,251,0.4016,5762.010999999993,4507.010999999993,-5.0,30.81999999999994,17.95621912350595,0.8582892350869155,nan,nan,5,nan,-1
13200,log,251,0.4016,5771.963999999993,4516.963999999993,-5.0,30.81999999999994,17.99587250996013,0.8582892350869155,nan,nan,5,nan,-1
13300,log,251,0.4016,5781.8829999999925,4526.8829999999925,-5.0,30.81999999999994,18.03539043824698,0.8582892350869155,nan,nan,5,nan,-1
13400,log,251,0.4016,5782.017999999993,4527.017999999993,-5.0,30.81999999999994,18.03592828685256,0.8582892350869155,nan,nan,5,nan,-1
13500,log,251,0.4016,5783.4229999999925,4528.422999999993,-5.0,30.81999999999994,18.041525896414317,0.8582892350869155,nan,nan,5,nan,-1
13600,log,252,0.4032,5803.357999999993,4543.357999999993,-5.0,30.81999999999994,18.029198412698385,0.8589068650602312,nan,nan,5,nan,-1
13700,log,253,0.4048,5839.772999999993,4574.772999999992,-5.0,30.81999999999994,18.08210671936756,0.8595220489678395,nan,nan,5,nan,-1
13800,log,253,0.4048,5844.794999999993,4579.794999999993,-5.0,30.81999999999994,18.1019565217391,0.8595220489678395,nan,nan,5,nan,-1
13900,log,253,0.4048,5850.143999999993,4585.143999999993,-5.0,30.81999999999994,18.12309881422922,0.8595220489678395,nan,nan,5,nan,-1
14000,log,253,0.4048,5854.283999999992,4589.283999999992,-5.0,30.81999999999994,18.139462450592855,0.8595220489678395,18.981306545421102,21.13389967399467,5,1.0,0
14100,log,253,0.4048,5855.6199999999935,4590.619999999993,-5.0,30.81999999999994,18.144743083003924,0.8595220489678395,nan,nan,5,nan,-1
14200,log,253,0.4048,5856.912999999992,4591.912999999992,-5.0,30.81999999999994,18.149853754940683,0.8595220489678395,nan,nan,5,nan,-1
14300,log,253,0.4048,5859.099999999993,4594.099999999993,-5.0,30.81999999999994,18.15849802371539,0.8595220489678395,nan,nan,5,nan,-1
14400,log,254,0.4064,5892.876999999993,4622.876999999992,-5.0,30.81999999999994,18.200303149606267,0.8601348061081646,nan,nan,5,nan,-1
14500,log,254,0.4064,5894.599999999993,4624.599999999993,-5.0,30.81999999999994,18.2070866141732,0.8601348061081646,nan,nan,5,nan,-1
14600,log,254,0.4064,5900.545999999993,4630.545999999993,-5.0,30.81999999999994,18.2304960629921,0.8601348061081646,nan,nan,5,nan,-1
